,tweet,asal_tweet
132,@jawafess ((ngelencer bareng)) ((((SATGAS COVID-19)))) https://t.co/ToHVJ5mufP,"Malang, Jawa Timur"
133,@ngalamfess Iki ngono satgas covid e rw rw,"Malang, Jawa Timur"
134,@hrdbacot Aku tiap pasien covid makin banyak: https://t.co/M8x8f0m0Nj,"Malang, East Java, Indonesia"
135,Kok tetep merasa emosi ya kalau baca-baca di media atau speak nya orang2 sok tau tentang covid,"Malang, Jawa Timur"
136,Pandemi covid kayak gini lebih khawatir ke kondisi keluarga ketimbang diri sendiri. Tapi tetep mesti jaga diri semuanya.,"Malang, Jawa Timur"
137,"@gudbyegudgirl Selamat sarjana covid yaa 🤣
Gimana ngerasain ndredeknya nggak kak","Malang, Jawa Timur"
138,@BagasWdykt Ntar kl musim covid udh ilang ya 😁,"Malang, Jawa Timur"
139,@PemkotMalang @sutiaji1964 @KominfoMalang Covid menangis lihat acara dibalkot kemarin 😆 https://t.co/Jg1T3omBWb,MALANG
140,Ndk malang spanduk e covid kalah ambk atribut e arema.  Hehe,malang
141,"Plis dong ojo malah di ritwit, ngko moro"" sarjana covid ku makin terhambat.",Pasuruan - Malang
142,"Terlepas dari konspirasi atau bukan, kita harus selalu jaga protokol kebersihan. Virus gak cuma covid, jangan pilih kasih dab.","Malang, East Java"
143,Namun ada sejumlah halangan sehingga jenazah pasien Covid-19 tak secara menyeluruh bisa dipenuhi hak-haknya.,"Malang, Jawa Timur"
144,Dalam ajaran Islam wajib hukumnya mereka yang hidup memenuhi hak dari seorang jenazah. Hal ini tak terkecuali bagi jenazah pasien Covid-19.,"Malang, Jawa Timur"
145,"((Jalan Tengah Pemulasaran Jenazah Pasien Covid-19))

#ProduksiVaksinCorona https://t.co/9kAcKgFh5n","Malang, Jawa Timur"
146,@BPJSTKinfo min mau tanya klo yg BLT dampak covid apa juga tersedia untuk BPU yang berpenghasilan dibawah 5 juta?,"Malang, East Java, Indonesia"
147,@pakethematku Masih ngeri covid nya.. 🤧 nunggu smpe ada vaksin aja deh huhu,Earth
148,covid iki ono tenan po ra se jane....🤨,"Malang, Jawa Timur"
149,"Dari sini, kami bersama-sama untuk membangun solidaritas menghadapi Covid-19 ini,"" katanya.","Malang, Jawa Timur"
150,"PNS di Banyuwangi Terus Gotong-royong Salurkan Bantuan Sosial Covid-19

#KAMIProvokatorSaatPandemi https://t.co/mRN334aiAJ","Malang, Jawa Timur"
151,Pemerintah terus menggulirkan berbagai stimulus untuk menangani imbas pandemi covid-19 di berbagai sektor.,"Malang, Jawa Timur"
152,"@revidya_da Huhuhu soale di kelurahan ku rodo rawan, akeh sing covid, malah ono sing meninggal positif 🥺 akhir e d mbas no handscoon ..",Malang
153,"Dia mengaku, sebelumnya dalam dua kali tes rapid dirinya dinyatakan non-reaktif Covid-19.","Malang, Jawa Timur"
154,"{{55 Anggota DPRD Kabupaten Bogor Jalani Tes Swab Covid-19}}

#kentalmanisbukansusu https://t.co/tbQP3JAxkm","Malang, Jawa Timur"
155,@lopusevin Arek e iku dadi relawan covid nd jakrta,"Malang, Jawa Timur"
156,"@Rarakusuma12 Realitane ~
"" km ga covid seh , medeni ""","Malang, Jawa Timur"
157,"coba kita lihat seberapa melonjaknya kurva covid di malang, hmm ndang ngaleh tekan kene ah, ayahab ilakes...","Malang, Jawa Timur"
158,@kegblgnunfaedh Apa cuma gw yg salfok ama wakil walkot solo yg kena covid gegara si itu ? :v,"Malang, Jawa Timur"
159,@PemkotMalang Maaf kmrn malam konvoi dan ngumpul di stadion bgm mau bebas covid yah...,Malang
160,"@RezRama Semoga covid juga memaklumi ya mas, jd ga sampe ada yg positif setelah berkumpul.","Kota Malang, Jawa Timur"
161,"Bayangin pas pandemi covid datang, dan gadget di Indonesia masih di era Evercross.","Malang, Jawa Timur"
162,Pantesan angka covid di Malang naik tajam 😭 https://t.co/t2qwT3HrPk,Malang
163,@dittakirana @mariaIeera Kan ada COVID-19. ☹️☹️☹️,"Malang, Jawa Timur"
164,@OngisnadeNet Sing pesta arema opo covid lek ngene 😅,Malang
165,@OngisnadeNet Tahun ini arema gak mbois. Gak iso bekerjasama melawan covid.,"Kota Malang, Jawa Timur"
