,tweet,asal_tweet
87,Jokowi Apresiasi Kinerja BPK di Tengah Pandemi Covid 19 IndonesiaMaju BangkitIndonesiaMaju PidatoPresiden2020,"Malang, Jawa Timur"
88,Sementara dalam menangani krisis ekonomi pemerintah memberikan bantuan sosial bansos kepada masyarakat yang terdampak pandemi Covid 19,"Malang, Jawa Timur"
89,Ayo bersatu lawan Covid 19,"Malang, Jawa Timur"
90,Masih adakah yang anggap covid itu hanya rekayasa atau konpirasi aja Semoga vaksin segera ter realisasi,"Malang, Jawa Timur"
91,Tapi negativ covid aku tik,malang
92,Sebenar nya dengan momentum Covid ini pelayanan pelayanan bisa dibuat non tatap muka online,Malang
93,Hilmiii Alhamdulilah sehat gimana nanganin covid juga ga,"Malang, Jawa Timur"
94,Sampe kapan sih mikir kalau kena covid semacam kutukan Kalau ada korban ya jgn di Bully dong,"Malang, Jawa Timur"
95,Emang kalau ada yg kena covid 19 Kita jadi musahan terus gabisa berteman,"Malang, Jawa Timur"
96,Masih aja ada manusia yg g percara covid Aku udah ga berani kemana mana lho ini cuk,"Malang, East Java, Indonesia"
97,Namun hingga kini RUU Omnibus Law Cipta Kerja masih saja tetap dimasukkan dalam Prolegnas Senayan dan bahkan ditengah Pandemi Covid 19,Malang
98,27 orang positif covid 19 di kantor pengadilan agama surabaya semoga mama gpp,"Malang, Jawa Timur"
99,Cepat berakhir covid Ku butuh liburan,
100,Bersama kita bisa perangi Covid 19 BUMNPerangiCovid,"Malang, Jawa Timur"
101,yeee garagara covid ini jadi moooondor semoa wkwkwkwk,Malang
102,Brang pd blm dtg kendala covid shit mana pada komplen,"Malang , Jawa Timur"
103,Polanya sama seperti tahun lalu Bedanya tahun ini ada covid tahun lalu ada km,Madiun - Malang
104,Patas malang sby tarif covid 50 000 tapi kapasitas penumpang full hehehehe,"Malang, Jawa Timur"
105,Siap menunggu hasil penanganan covid 19 oleh bapak Luhut tersayang,"Malang, Jawa Timur"
106,Ya allah mari due majikan fanatik covid sak iki due majikan fanatik konspirasi wkwk,"Malang, Jawa Timur"
107,Kalo sampe JRXSID udah dipenjara terus angka Covid 19 masih naek siapa yang harus bertanggung jawab BebaskanJRXSID,"Malang, Jawa Timur"
108,iyo pak ga balek sby a koen al hikam wes akeh covid lho,"Malang, Indonesia"
109,ben onok wong mati messti dikiro covid oalah buk buk,"Malang, Jawa Timur"
110,Jokowi mengatakan pemerintah juga telah memberikan sejumlah bantuan kepada masyarakat di tengah pandemi Covid 19,"Malang, Jawa Timur"
111,Politikus PDIP Pemprov DKI Terlihat Tidak Mampu Membuat Kebijakan Mengatasi Covid 19 17agustussudahdekat,"Malang, Jawa Timur"
112,Kementerian Perdagangan mengungkapkan adanya kabar baik di tengah pandemi Covid 19 yang telah memukul perekonomian global,"Malang, Jawa Timur"
113,dan tentunya terkat dengan Covid segera bisa diputus penyebarannya dan kita semua kembali kepada hal yang normal tutup Gatot,"Malang, Jawa Timur"
114,Tak kasih tau cara paling mudah menurunkan angka positif covid 19 Gak usah tes tes an Dijamin langsung nol,Bojonegoro - Malang
115,Apakah ini berhubungan dengan covid 19,Malang
116,Jujur gak setuju kalo pasien positif covid dirahasiakan di lingkungan kantor,Malang
117,diem koas covid gak tau rssa,"Kota Malang, Jawa Timur"
118,3 Rekomendasi itu efektif mencegah penularan covid 19,Malang
119,Wak lakok akeh seng kenek covid tonggo e arek2,"Malang, Indonesia"
120,Ga masup deh menurutku dengan dia ditahan ato engga banyak yg masi bodo amat sm covid,"Kota Malang, Jawa Timur"
121,biayanya segini xxxxx kalo gabisa bayar bisa saja gratis asal ttd di surat pernyataan bahwa pasien mninggal karna covid,"Malang, Jawa Timur"
122,covid hilang kita berantem yuk,"Malang, Jawa Timur"
123,Baca komennya emosi bawaannya hmmm skli kali aja ke rs tour biar tau gambaran efek covid gimana hmmm,Denpasar - Malang
124,Bioskop covid dadakan macam tahu bulett digoreng dadakan,Malang Indonesia
125,Vid covid mole ws bengi le kesok maneh,"Kota Malang, Jawa Timur"
126,Gais aku mau ke koreaaaaa Ada yg mau ikut Beli tiketnya skrg berangkatnya nunggu covid kelar,"Malang, Jawa Timur"
127,halo broo anda tau JANCOK a yo kon iku jancok seminggu lemot jaringamu kena covid 19 ta broo cok,"Malang, indonesia"
128,289 hasil tes swab semua Klo cm rapid2an gk bs vonis covid dong,"malang, east java"
129,Amin Terima kasih mbak e Bantu doa buat usaha kecil kecilan peyek saya di tengah pandemi Covid 19 Terima kasih,Malang Jawa timur
130,betapapun tidak masuk akalnya pendapat jerinx tentang Covid 19 ia tidak pantas dan tidak boleh dipenjara karena pendapat yang berbeda,"Malang, Jawa Timur"
131,Berangkat ke New Zealand diundur2 krn covid ni portal blm dibuka juga,Malang
132,tingkat depresi mahasiswa ketika dituntut untuk menyelesaikan studi tepat waktu dan menghasilkan uang di tengah pandemi covid 19,malang
133,hudhi Masih percaya covid Anda lebih bodoh ketimbang jerinx,"Malang, Jawa Timur"
134,sama sekali gk setuju kecuali ada kebijakan jaminan yg sekolah bebas Covid 19 dan itu didanai pemerintah ya monggo,Malang
135,Dampak positif covid bisa bangun siang,Malang
136,Meskipun saya ga suka pendapatnya tentang covid,"Kota Malang, Jawa Timur"
137,Dia orang yg slalu berdebat Covid 19 itu konspirasi dan ngajak masyarakat gk pake masker sampe ngadain demo di Bali gitu,"Malang, Jawa Timur"
138,Semoga indonesia lepas dr covid 19 amiennn,Malang- Jawa timur
139,sehat itu adalah untuk kita lawan covid 19 PolriSerukanCuciTangan,"Kota Malang, Jawa Timur"
140,cegah penularan covid 19 dengan PolriSerukanCuciTangan,"Kota Malang, Jawa Timur"
141,Sudah bosan dengan narativ covid yang membuat orang buntu,Malang
142,sehat itu adalah untuk kita lawan covid 19 PolriSerukanCuciTangan,"Kota Malang, Jawa Timur"
143,cegah penularan covid 19 dengan PolriSerukanCuciTangan,"Kota Malang, Jawa Timur"
144,BaktiSosialPolwan Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid 19,"Kota Malang, Jawa Timur"
145,BaktiSosialPolwan Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid 19,"Kota Malang, Jawa Timur"
146,BaktiSosialPolwan Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid 19,"Kota Malang, Jawa Timur"
147,BaktiSosialPolwan Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid 19,"Kota Malang, Jawa Timur"
148,BaktiSosialPolwan Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid 19,"Kota Malang, Jawa Timur"
149,BaktiSosialPolwan Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid 19,"Malang, Jawa Timur"
150,mungkin anda berpikir terlalu negatif bisa saja ybs ingin mengajak anda untuk menguak konspirasi covid 19,"Malang, Jawa Timur"
151,Maringene onok kota sing bakal akeh positif covid e gara2 akeh wong goblok metu ramean,"Malang, Jawa Timur"
152,BaktiSosialPolwan Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid 19,"Kota Malang, Jawa Timur"
153,BaktiSosialPolwan Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid 19,"Kota Malang, Jawa Timur"
154,BaktiSosialPolwan Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid 19,"Kota Malang, Jawa Timur"
155,BaktiSosialPolwan Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid 19,"Kota Malang, Jawa Timur"
156,BaktiSosialPolwan Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid 19,"Kota Malang, Jawa Timur"
157,BaktiSosialPolwan Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid 19,"Kota Malang, Jawa Timur"
158,dan semalem ada keluarga pasien yang nungguin ambulan covid sambil ngopi deket rumah sangking kosonge ambulan dan kudu nunggu lama,"Malang, Jawa Timur"
159,aku tadi mau ke perpus rs pas udah di depan tempatnya baru inget itu rs jadi rujukan utama covid huhu langsung balik lagi,"Kota Malang, Jawa Timur"
160,gara gara covid jadi banyak join seminar online tapi habis join komputernya aku tinggal balik lagi pas absen,Malang
161,Gak menisan nglencer bareng pasien confirm covid 19 ae pak bu,"Malang, Jawa Timur"
162,Wingenane gawe protokol covid Makane gaono sg ngerti,"Malang, Jawa Timur"
163,cegah penularan covid 19 dengan PolriSerukanCuciTangan,"Malang, Jawa Timur"
164,cegah penularan covid 19 dengan PolriSerukanCuciTangan,"Malang, Jawa Timur"
165,kenapa setiap gua abis jalan tb tb covid naik lagi,"Kota Malang, Jawa Timur"
166,Ngomong penjualan mobil Esemka di masa covid gini meroket apa anjlok ya bagi info Donk yg tahu didu,"Malang, Jawa Timur"
167,Satgas covid mek gae formalitas tok,"Malang, Jawa Timur"
168,Padahal saya berharap dokter mengurangi bicara covid karena emang udah ga ada Bukan karena lelah Huhu,MALANG
169,Saya kecewa dengan Media yang membuat Artikel dan meliput berita INews Tribunnews Kompas Tv Sekali lagi Ayah saya BUKAN JENAZAH COVID 19,"Malang, Jawa Timur"
170,Apakah berjemur dapat membunuh COVID 19 Apakh betul ges kuuu kuy pelajari lebih dalam dengan baca post di atass,"Malang, Jawa Timur"
171,31 hari tantangan SiapAdaptasi Hoax Buster Berjemur saja dapat menyembuhkan COVID 19,"Malang, Jawa Timur"
172,2020 Covid 19 gt Balapan Rabi Nggak ngeluarin duit banyak Aku Selaw aja dulu wkkw,Ponorogo-Malang
173,ngelencer bareng SATGAS COVID 19,"Malang, Jawa Timur"
174,Iki ngono satgas covid e rw rw,"Malang, Jawa Timur"
175,Aku tiap pasien covid makin banyak,"Malang, East Java, Indonesia"
176,Kok tetep merasa emosi ya kalau baca baca di media atau speak nya orang2 sok tau tentang covid,"Malang, Jawa Timur"
177,Pandemi covid kayak gini lebih khawatir ke kondisi keluarga ketimbang diri sendiri Tapi tetep mesti jaga diri semuanya,"Malang, Jawa Timur"
178,Selamat sarjana covid yaa Gimana ngerasain ndredeknya nggak kak,"Malang, Jawa Timur"
179,Ntar kl musim covid udh ilang ya,"Malang, Jawa Timur"
180,Covid menangis lihat acara dibalkot kemarin,MALANG
181,Ndk malang spanduk e covid kalah ambk atribut e arema Hehe,malang
182,Sekarang tu badan anget dikit lgsg parno covid pdhl aku nguliahin org jgn parnoan Please myself don t be Covidiot,"Malang, Jawa Timur"
183,Plis dong ojo malah di ritwit ngko moro sarjana covid ku makin terhambat,Pasuruan - Malang
184,Terlepas dari konspirasi atau bukan kita harus selalu jaga protokol kebersihan Virus gak cuma covid jangan pilih kasih dab,"Malang, East Java"
