,tweet,asal_tweet
78,"LuCu....😆😁😆😄😃😀
Katanya Sudah Menemukan
Obat Penawar Covid-19,
Tapi Kok Yang Positif
Mencapai Record Muri
😁😆😁😆😄😃😀",CronusLand
79,"@TweetSrip_ Awalnya gw dukung2 aj, tp pas berita demonstrasi BLM ga menyebarkan covid, disgust gw sama mereka. Hipokrit",nangulub
80,Dhoni has announced his retirement.Itna dukh toh covid ne 6 mahine mein nahi diya jitna ek second mein Dhoni ne de diya.#mahi 🙏🖤,
81,Ye khana diya ja raha hai sdm referral hospital uda kishunganj bihar ke covid care center. Me. https://t.co/3RK0kGMikZ,
82,@gomezserdadu Tetap dengan protokol covid,"Binangun, Indonesia"
83,Lagi goblok banget lagi covid gini mau 17an rame rame. Mikir anjing. Kalo ada yg kena covid mana mau lu tanggung jawab.,
84,"@aewin86 @tempodotco Oke, berarti menurut lu, obat Covid-19 udah ada ya, karena sudah memberikan kesembuhan.",
85,@ainiisalleh Taktaaaaaau la rasanya tu bukan pasar malam macam dulu (sebelum covid) tu tu cam orang jual sikit2 je en,
86,"semenjak covid udah engga ada yang mau ngadminin akun ini, kasian.",Indonesia
87,@Phyllis_Phyl_ Gon end the Convo like 'ah timangofuna tikupaseni moni... Kumavala mask pokwela madengawo kunja nkwa Covid uku',"Blantyre,Malawi."
88,rindunyaaaaaaaaaa 😭😭😭😭😭😭 p*ndek punya covid,🇲🇾//🇸🇬
89,"@ms_sunshine59 Monane covid nundi baytapadinav 
Ipudu ee risk avsrama adhyaksha",
90,"tadi pagi mencret, trs abis itu ga enak badan, kepala agak pusing, pas ngetio ini tenggorokanku ga enak. takut bgt kalo covid:((","Pati, Indonesia"
91,"Maak, gabisa tidur abis itu baca soal gejala covid yg bsa ga ilang berbulan bulan. Pada jam2 overthinking. Hmm.",021
92,@morgan_covid Follar,
93,@hifxris Inshallah habis covid,Kuching Borneo 
94,"@Kekuatandarial1 gk juga, mungkin lebih karna covid-19 kali yak soalnya dia positif",
95,Sooman y jyp son inmunes al covid 🤩, 𝙅𝙖𝙚𝙝𝙮𝙪𝙣.
96,"jarang bgt ngomentarin soal covid gini di sosmed, gatau knp pengen ngomel aja mlm ini",
97,@SSwangga @tempodotco Lah memang sekarang 91.000 pasien covid yang sembuh diobatin pake apa?,|MU|RealMadrid|LedZep|iwanFals
98,Dhoni has announced his retirement. Itna dukh toh Covid ne 6 mahine mein nahi diya jitna ek second mein Dhoni ne de diya.,"Nagpur, India"
99,Gara2 di nagreg aya nu benang covid jadi aing nu riweuh ngajelaskeun ka urang lembur nu teu ngarti2 ka nu masalah phbn dieweuhkeun,"Bandung, West Java, Indonesia"
100,Giat patroli  di Kampung siaga Covid Desa Nusajati https://t.co/4zYfMfqvCd,
101,"#BREAKING: Ithuru 198 meehun Covid inn rangalhuve, balin faseyhavee jumula adhadhu 3208 ah",Maldives
102,@azimmmm____ Taknak jerawat. Bodo lah covid ni!! 😩,Perak
103,"#BREAKING: Ithuru 198 meehun Covid inn rangalhuve, balin faseyhavee jumula adhadhu 3208 ah",Maldives
104,"aku dok sp ni takleh pi mana laa, nk jumpa bazli kat sik satgi terbawak covid mampoih. Kawan dah la MA. Haihh nt la jmp yaa 🥺 uhukk","Kedah, Malaysia"
105,"//eh gatau kenapa pen bilang ini tapi takut dihujat//

Sadar gasih kenapa makin kesini masih ada juga orang yang nyepelein Covid-19?😭",
106,"@Expat_Indo @jokowi Beliau tdk mbicarakan virus, apalagi covid-19. Wlpn kita sama2 tahu ekonomi yg dimaksud (melemah) dampak dari covid-19.","Jakarta, Indonesia"
107,@MudasirRomini @xdigeeembok @LisaAmartatara3 Jualan vaksin covid palsu mungkin laris..,"Pondok Kelapa, Indonesia"
108,"Pgn bikin utas ttg covid jdnya haha, tp udh bnyk yg bikin yha. Gajd deh",
109,@Ashlry_ Belom lmbt sikit keluar. Covid katanya. Takod😂,
110,Semua akan covid pada waktunya,"Tangerang, Indonesia"
111,"COVID-19 itu nyata, tetap waspada dan disiplin protokol kesehatan ya!

#PakaiMasker
#jagajarak
#CuciTanganPakaiSabun https://t.co/PFWgNPC6Gz","ÜT: -6.187385,106.733011"
